organization_name,donation_amount,donation_date,donation_frequency,donation_type,donor_category,first_donation_date,campaign_name,donation_purpose,contact_person,region
Evergreen Impact,42785.84,10/04/2019,Annual,Recurring,Corporate,05/05/2015,Spring Drive,Healthcare,Sarah Anderson,Oceania
Innovative Giving,7595.18,13/08/2022,Monthly,Special Event,Foundation,26/12/2021,Education Initiative,Disaster Relief,Michael Taylor,Asia
Visionary Solutions,30829.59,09/03/2024,Monthly,Special Event,Foundation,16/10/2018,Disaster Relief,Research,Daniel Johnson,North America
Hope Partners,13150.83,17/08/2024,Monthly,One-time,Foundation,18/10/2015,Arts Support,Arts and Culture,Jane Brown,Africa
Visionary Solutions,3404.7,27/01/2024,Quarterly,Recurring,Corporate,28/03/2020,Disaster Relief,Healthcare,John Garcia,Asia
Pioneer Philanthropy,21327.98,30/01/2022,Monthly,Special Event,Foundation,20/09/2021,Summer Giving,Research,Emily Williams,Europe
Hope Partners,19741.42,11/04/2021,Quarterly,Special Event,Foundation,22/08/2020,Spring Drive,Disaster Relief,David Miller,Oceania
United Charities,4638.38,07/07/2022,Monthly,Special Event,Corporate,08/01/2019,Research Grant,Arts and Culture,Sarah Taylor,Europe
Future Enterprises,40913.32,03/05/2021,Monthly,Recurring,Foundation,21/01/2021,Healthcare Fund,Education,Robert Davis,Africa
Evergreen Impact,6782.28,27/12/2023,Quarterly,Recurring,Foundation,03/08/2019,Education Initiative,Arts and Culture,Olivia Taylor,Africa
Evergreen Impact,10783.14,21/08/2018,Annual,One-time,Foundation,22/01/2017,Healthcare Fund,Healthcare,David Jones,Africa
Future Enterprises,1864.54,17/01/2024,Monthly,One-time,Corporate,02/05/2022,Summer Giving,Education,Sarah Garcia,North America
Evergreen Impact,3072.61,05/01/2020,Quarterly,Special Event,Foundation,28/11/2019,Spring Drive,Education,Daniel Rodriguez,South America
Innovative Giving,28070.56,20/10/2024,Annual,Special Event,Foundation,01/05/2018,Holiday Appeal,Healthcare,David Miller,Middle East
Acme Corp,16337.66,05/08/2018,Quarterly,Recurring,Foundation,03/06/2016,Education Initiative,Social Services,Robert Jones,Europe
Acme Corp,5484.34,20/04/2024,Monthly,Special Event,Non-profit,04/05/2023,Summer Giving,Arts and Culture,Jane Johnson,North America
United Charities,31097.66,14/09/2017,Quarterly,Special Event,Non-profit,10/09/2017,Holiday Appeal,Research,Sarah Taylor,Middle East
Hope Partners,17225.83,05/07/2024,Annual,One-time,Corporate,25/12/2021,Community Outreach,Environmental,Michael Wilson,North America
Charity Connect,45367.58,27/02/2025,Annual,Recurring,Corporate,13/02/2021,Research Grant,Disaster Relief,Emily Davis,Oceania
Charity Connect,32869.31,26/08/2023,Monthly,One-time,Corporate,30/08/2017,Disaster Relief,Environmental,Olivia Brown,Asia
Solidarity Trust,17064.65,27/11/2024,Quarterly,Recurring,Non-profit,28/07/2017,Community Outreach,Social Services,Laura Johnson,Middle East
Hope Partners,16230.22,21/01/2024,Annual,One-time,Corporate,25/02/2015,Year End Campaign,Community Support,John Rodriguez,Asia
Visionary Solutions,13792.2,08/12/2017,Monthly,One-time,Foundation,23/03/2016,Research Grant,Healthcare,Daniel Anderson,South America
Future Enterprises,34596.52,08/03/2025,Monthly,One-time,Corporate,28/02/2018,Spring Drive,Research,Laura Taylor,South America
Pioneer Philanthropy,27225.96,05/03/2023,Annual,One-time,Foundation,05/12/2021,Community Outreach,Community Support,David Smith,South America
Global Foundation,23106.15,15/12/2023,Monthly,Special Event,Non-profit,14/12/2018,Summer Giving,Environmental,Jane Davis,South America
Future Enterprises,7999.04,03/11/2024,Quarterly,Recurring,Foundation,07/10/2021,Disaster Relief,Research,Emily Anderson,Europe
United Charities,48556.04,17/11/2024,Quarterly,One-time,Non-profit,18/04/2022,Summer Giving,Healthcare,Laura Smith,Europe
Innovative Giving,18054.05,21/12/2023,Quarterly,One-time,Corporate,22/11/2018,Education Initiative,Education,John Brown,Africa
Hope Partners,49414.97,03/11/2024,Monthly,Special Event,Non-profit,04/05/2017,Holiday Appeal,Healthcare,Robert Davis,Middle East
Solidarity Trust,36008.24,19/04/2017,Quarterly,One-time,Non-profit,30/01/2015,Education Initiative,Arts and Culture,Robert Davis,Oceania
Global Foundation,7875.47,03/06/2017,Quarterly,Recurring,Corporate,03/06/2016,Healthcare Fund,Healthcare,John Davis,Middle East
Innovative Giving,20557.14,10/03/2024,Annual,Special Event,Corporate,02/10/2016,Summer Giving,Education,Daniel Jones,South America
Pioneer Philanthropy,35975.35,09/11/2021,Quarterly,One-time,Non-profit,09/07/2016,Arts Support,Environmental,Michael Anderson,Europe
Community Builders,6967.36,09/07/2023,Quarterly,One-time,Non-profit,15/07/2020,Healthcare Fund,Disaster Relief,Sophia Smith,South America
Evergreen Impact,9715.04,06/07/2020,Quarterly,One-time,Non-profit,13/06/2016,Year End Campaign,Healthcare,Robert Anderson,North America
Visionary Solutions,9566.16,18/12/2021,Quarterly,Special Event,Foundation,05/10/2019,Arts Support,Disaster Relief,David Johnson,Europe
Pioneer Philanthropy,28572.67,24/01/2024,Annual,Special Event,Non-profit,28/01/2023,Research Grant,Arts and Culture,Michael Williams,Europe
Community Builders,19193.6,05/11/2024,Quarterly,One-time,Non-profit,02/06/2022,Holiday Appeal,Environmental,Alex Wilson,Oceania
Solidarity Trust,8521.59,13/08/2022,Monthly,Special Event,Foundation,31/07/2020,Research Grant,Community Support,Sophia Smith,Africa
Hope Partners,49517.69,16/04/2024,Monthly,Recurring,Non-profit,23/01/2019,Holiday Appeal,Disaster Relief,John Williams,Middle East
Solidarity Trust,1369.33,22/11/2024,Monthly,Special Event,Non-profit,22/07/2021,Community Outreach,Social Services,Alex Anderson,Oceania
Evergreen Impact,6043.54,07/10/2022,Monthly,Recurring,Non-profit,11/07/2022,Holiday Appeal,Disaster Relief,Emily Miller,South America
Charity Connect,47115.5,24/08/2023,Monthly,Recurring,Non-profit,26/08/2022,Year End Campaign,Social Services,Sarah Johnson,Europe
United Charities,18212.21,28/07/2022,Monthly,Special Event,Foundation,18/11/2019,Spring Drive,Environmental,Sarah Brown,Middle East
Evergreen Impact,38108.43,09/11/2018,Monthly,Recurring,Foundation,30/10/2015,Holiday Appeal,Arts and Culture,Emily Taylor,South America
Future Enterprises,8014.96,18/08/2020,Monthly,One-time,Foundation,09/06/2020,Research Grant,Environmental,David Johnson,North America
Pioneer Philanthropy,31192.93,21/05/2023,Monthly,Recurring,Corporate,05/08/2021,Community Outreach,Community Support,Daniel Taylor,Africa
Solidarity Trust,13339.04,25/11/2017,Annual,Recurring,Non-profit,20/09/2016,Community Outreach,Social Services,Daniel Wilson,Asia
Evergreen Impact,38271.73,30/10/2023,Monthly,Recurring,Corporate,04/05/2016,Research Grant,Community Support,Olivia Miller,Europe
Evergreen Impact,18710.38,11/09/2023,Quarterly,One-time,Corporate,04/09/2023,Arts Support,Education,Jane Garcia,Middle East
Pioneer Philanthropy,21492.37,08/10/2024,Annual,Recurring,Corporate,31/07/2022,Healthcare Fund,Disaster Relief,Sophia Jones,Asia
United Charities,32721.56,16/08/2022,Monthly,Special Event,Non-profit,30/06/2015,Spring Drive,Environmental,Olivia Jones,South America
Innovative Giving,34347.09,04/02/2023,Annual,One-time,Non-profit,25/06/2017,Arts Support,Environmental,Sophia Anderson,Asia
Evergreen Impact,438.22,02/09/2022,Annual,Special Event,Non-profit,29/04/2019,Research Grant,Disaster Relief,Olivia Williams,Europe
Hope Partners,49447.92,26/11/2023,Annual,One-time,Corporate,26/05/2020,Holiday Appeal,Disaster Relief,Jane Williams,Africa
Future Enterprises,29421.73,04/11/2024,Quarterly,One-time,Non-profit,28/11/2023,Research Grant,Research,Michael Miller,Europe
Pioneer Philanthropy,43857.85,22/12/2024,Monthly,One-time,Foundation,15/02/2019,Healthcare Fund,Research,David Davis,North America
Community Builders,8187.09,17/11/2020,Monthly,Recurring,Foundation,25/03/2019,Summer Giving,Healthcare,Sarah Anderson,North America
Visionary Solutions,46672.79,04/03/2022,Quarterly,Recurring,Corporate,17/11/2017,Community Outreach,Disaster Relief,Michael Davis,Europe
Innovative Giving,42781.77,21/05/2023,Quarterly,One-time,Non-profit,23/05/2016,Summer Giving,Environmental,Olivia Davis,Europe
Hope Partners,13639.53,03/09/2023,Monthly,Recurring,Corporate,20/06/2015,Education Initiative,Community Support,Jane Rodriguez,South America
Innovative Giving,26529.44,29/09/2018,Annual,Special Event,Foundation,15/03/2016,Disaster Relief,Arts and Culture,Robert Wilson,Asia
Future Enterprises,32082.65,30/12/2022,Annual,Recurring,Non-profit,14/05/2017,Summer Giving,Education,David Rodriguez,South America
Acme Corp,29105.63,20/08/2019,Annual,Special Event,Corporate,09/02/2018,Year End Campaign,Education,Laura Davis,North America
Charity Connect,27963.62,10/10/2023,Annual,One-time,Foundation,18/04/2015,Research Grant,Disaster Relief,John Rodriguez,North America
Hope Partners,20469.62,09/10/2023,Quarterly,One-time,Non-profit,26/11/2018,Holiday Appeal,Arts and Culture,Emily Anderson,Africa
Evergreen Impact,46869.12,14/10/2022,Monthly,Special Event,Non-profit,28/01/2022,Disaster Relief,Community Support,Jane Taylor,North America
Evergreen Impact,45274.26,22/03/2024,Monthly,Special Event,Corporate,11/02/2022,Holiday Appeal,Disaster Relief,John Williams,North America
Hope Partners,38789.08,01/11/2022,Annual,Recurring,Corporate,18/04/2015,Research Grant,Environmental,Michael Williams,South America
Evergreen Impact,4473.3,16/10/2024,Quarterly,One-time,Foundation,29/11/2022,Spring Drive,Arts and Culture,David Rodriguez,Oceania
Visionary Solutions,23749.29,29/08/2023,Annual,Recurring,Foundation,07/07/2022,Year End Campaign,Healthcare,Sarah Johnson,North America
United Charities,48458.75,22/08/2020,Monthly,Recurring,Foundation,30/03/2020,Research Grant,Research,Robert Garcia,South America
Community Builders,21781.32,04/04/2023,Quarterly,Recurring,Corporate,23/01/2023,Arts Support,Community Support,John Wilson,North America
Charity Connect,9023.96,01/02/2021,Monthly,Recurring,Foundation,03/05/2020,Community Outreach,Social Services,Michael Anderson,North America
Hope Partners,16419.57,07/01/2023,Quarterly,Special Event,Foundation,19/07/2019,Holiday Appeal,Community Support,Laura Rodriguez,South America
Acme Corp,17051.68,13/05/2020,Annual,Special Event,Foundation,17/09/2015,Education Initiative,Environmental,Olivia Davis,Oceania
Evergreen Impact,41824.39,01/04/2024,Monthly,Recurring,Corporate,24/03/2021,Healthcare Fund,Community Support,Sarah Miller,South America
Visionary Solutions,28491.67,11/01/2025,Annual,Special Event,Non-profit,14/10/2015,Healthcare Fund,Community Support,Sophia Garcia,Africa
Hope Partners,13025.72,30/11/2021,Monthly,Special Event,Foundation,09/10/2016,Summer Giving,Healthcare,Michael Garcia,Middle East
Innovative Giving,48104.36,03/11/2023,Quarterly,Special Event,Foundation,22/11/2022,Holiday Appeal,Social Services,Daniel Johnson,North America
